DATE,SPCS20RSA
2000-01-01,100.59
2000-02-01,101.69
2000-03-01,102.78
2000-04-01,104.00
2000-05-01,105.25
2000-06-01,106.40
2000-07-01,107.13
2000-08-01,107.86
2000-09-01,108.61
2000-10-01,109.49
2000-11-01,110.57
2000-12-01,111.80
2001-01-01,113.05
2001-02-01,114.13
2001-03-01,115.09
2001-04-01,115.84
2001-05-01,116.30
2001-06-01,116.90
2001-07-01,117.50
2001-08-01,118.25
2001-09-01,119.03
2001-10-01,119.69
2001-11-01,120.27
2001-12-01,120.67
2002-01-01,121.36
2002-02-01,122.19
2002-03-01,123.32
2002-04-01,124.51
2002-05-01,125.92
2002-06-01,127.39
2002-07-01,128.88
2002-08-01,130.31
2002-09-01,131.53
2002-10-01,132.85
2002-11-01,134.10
2002-12-01,135.40
2003-01-01,136.47
2003-02-01,137.45
2003-03-01,138.38
2003-04-01,139.25
2003-05-01,140.15
2003-06-01,140.92
2003-07-01,142.12
2003-08-01,143.55
2003-09-01,145.26
2003-10-01,146.99
2003-11-01,148.82
2003-12-01,150.76
2004-01-01,152.62
2004-02-01,154.54
2004-03-01,156.94
2004-04-01,159.36
2004-05-01,161.75
2004-06-01,164.30
2004-07-01,166.39
2004-08-01,168.07
2004-09-01,169.65
2004-10-01,171.29
2004-11-01,173.08
2004-12-01,175.08
2005-01-01,177.55
2005-02-01,180.25
2005-03-01,183.23
2005-04-01,185.51
2005-05-01,187.55
2005-06-01,189.53
2005-07-01,191.37
2005-08-01,193.37
2005-09-01,195.61
2005-10-01,197.87
2005-11-01,200.13
2005-12-01,202.17
2006-01-01,203.77
2006-02-01,205.36
2006-03-01,206.25
2006-04-01,206.65
2006-05-01,206.50
2006-06-01,205.80
2006-07-01,204.93
2006-08-01,204.11
2006-09-01,203.57
2006-10-01,203.53
2006-11-01,203.63
2006-12-01,203.46
2007-01-01,203.73
2007-02-01,204.07
2007-03-01,204.14
2007-04-01,202.86
2007-05-01,201.01
2007-06-01,198.84
2007-07-01,196.83
2007-08-01,194.88
2007-09-01,193.10
2007-10-01,190.95
2007-11-01,187.87
2007-12-01,185.07
2008-01-01,182.12
2008-02-01,178.54
2008-03-01,175.38
2008-04-01,172.41
2008-05-01,169.52
2008-06-01,167.16
2008-07-01,164.38
2008-08-01,162.09
2008-09-01,159.09
2008-10-01,156.27
2008-11-01,153.62
2008-12-01,150.70
2009-01-01,147.69
2009-02-01,145.59
2009-03-01,143.02
2009-04-01,141.53
2009-05-01,140.80
2009-06-01,141.26
2009-07-01,142.23
2009-08-01,143.45
2009-09-01,144.04
2009-10-01,144.76
2009-11-01,145.44
2009-12-01,146.21
2010-01-01,146.89
2010-02-01,146.89
2010-03-01,146.63
2010-04-01,147.02
2010-05-01,147.22
2010-06-01,146.99
2010-07-01,146.38
2010-08-01,145.50
2010-09-01,144.51
2010-10-01,143.58
2010-11-01,143.24
2010-12-01,142.93
2011-01-01,142.55
2011-02-01,142.04
2011-03-01,140.86
2011-04-01,140.67
2011-05-01,140.39
2011-06-01,140.30
2011-07-01,140.29
2011-08-01,139.98
2011-09-01,139.36
2011-10-01,138.61
2011-11-01,137.90
2011-12-01,137.34
2012-01-01,137.11
2012-02-01,137.04
2012-03-01,137.06
2012-04-01,137.88
2012-05-01,139.44
2012-06-01,140.96
2012-07-01,141.92
2012-08-01,142.82
2012-09-01,143.70
2012-10-01,144.74
2012-11-01,145.76
2012-12-01,147.08
2013-01-01,148.32
2013-02-01,149.68
2013-03-01,151.43
2013-04-01,153.95
2013-05-01,156.03
2013-06-01,157.77
2013-07-01,159.54
2013-08-01,161.28
2013-09-01,163.01
2013-10-01,164.73
2013-11-01,165.96
2013-12-01,166.90
2014-01-01,167.90
2014-02-01,168.71
2014-03-01,169.73
2014-04-01,170.15
2014-05-01,170.32
2014-06-01,170.49
2014-07-01,170.52
2014-08-01,170.46
2014-09-01,170.98
2014-10-01,172.28
2014-11-01,173.10
2014-12-01,174.22
2015-01-01,175.21
2015-02-01,176.71
2015-03-01,177.65
2015-04-01,178.12
2015-05-01,178.46
2015-06-01,178.78
2015-07-01,179.13
2015-08-01,179.18
2015-09-01,180.12
2015-10-01,181.70
2015-11-01,182.92
2015-12-01,183.90
2016-01-01,185.01
2016-02-01,186.04
2016-03-01,187.03
2016-04-01,187.59
2016-05-01,187.71
2016-06-01,187.99
2016-07-01,188.30
2016-08-01,188.35
2016-09-01,189.23
2016-10-01,190.89
2016-11-01,192.37
2016-12-01,193.90
2017-01-01,195.55
2017-02-01,196.91
2017-03-01,198.01
2017-04-01,198.35
2017-05-01,198.51
2017-06-01,198.68
2017-07-01,199.37
