DATE,USSTHPI
1975-01-01,59.77
1975-04-01,61.10
1975-07-01,61.25
1975-10-01,62.35
1976-01-01,62.82
1976-04-01,65.47
1976-07-01,66.56
1976-10-01,67.26
1977-01-01,69.41
1977-04-01,72.64
1977-07-01,74.35
1977-10-01,77.19
1978-01-01,79.49
1978-04-01,82.70
1978-07-01,85.20
1978-10-01,87.47
1979-01-01,91.37
1979-04-01,94.34
1979-07-01,96.39
1979-10-01,98.22
1980-01-01,100.00
1980-04-01,101.53
1980-07-01,104.47
1980-10-01,104.74
1981-01-01,105.30
1981-04-01,107.41
1981-07-01,109.24
1981-10-01,109.12
1982-01-01,110.94
1982-04-01,111.88
1982-07-01,110.83
1982-10-01,112.24
1983-01-01,114.23
1983-04-01,115.44
1983-07-01,116.39
1983-10-01,117.03
1984-01-01,118.82
1984-04-01,120.37
1984-07-01,121.48
1984-10-01,122.47
1985-01-01,124.20
1985-04-01,126.09
1985-07-01,128.07
1985-10-01,129.48
1986-01-01,131.97
1986-04-01,134.71
1986-07-01,136.76
1986-10-01,138.86
1987-01-01,141.61
1987-04-01,143.81
1987-07-01,145.44
1987-10-01,146.37
1988-01-01,148.66
1988-04-01,151.62
1988-07-01,153.18
1988-10-01,154.60
1989-01-01,156.37
1989-04-01,158.55
1989-07-01,161.91
1989-10-01,163.25
1990-01-01,164.17
1990-04-01,164.84
1990-07-01,165.83
1990-10-01,165.19
1991-01-01,166.56
1991-04-01,167.68
1991-07-01,167.98
1991-10-01,170.34
1992-01-01,171.66
1992-04-01,171.62
1992-07-01,173.58
1992-10-01,174.46
1993-01-01,174.53
1993-04-01,176.19
1993-07-01,177.61
1993-10-01,179.08
1994-01-01,180.22
1994-04-01,181.32
1994-07-01,182.06
1994-10-01,181.90
1995-01-01,182.87
1995-04-01,185.86
1995-07-01,188.71
1995-10-01,190.20
1996-01-01,192.34
1996-04-01,192.68
1996-07-01,193.53
1996-10-01,195.05
1997-01-01,196.67
1997-04-01,198.32
1997-07-01,201.04
1997-10-01,203.66
1998-01-01,206.69
1998-04-01,208.56
1998-07-01,211.46
1998-10-01,213.97
1999-01-01,216.22
1999-04-01,219.12
1999-07-01,222.23
1999-10-01,224.52
2000-01-01,228.81
2000-04-01,232.54
2000-07-01,236.77
2000-10-01,240.42
2001-01-01,246.34
2001-04-01,250.47
2001-07-01,254.36
2001-10-01,257.51
2002-01-01,261.21
2002-04-01,265.65
2002-07-01,270.92
2002-10-01,274.76
2003-01-01,278.11
2003-04-01,281.49
2003-07-01,285.80
2003-10-01,293.88
2004-01-01,298.47
2004-04-01,305.70
2004-07-01,317.40
2004-10-01,324.16
2005-01-01,331.63
2005-04-01,342.23
2005-07-01,352.54
2005-10-01,360.53
2006-01-01,366.27
2006-04-01,370.00
2006-07-01,373.08
2006-10-01,376.87
2007-01-01,378.23
2007-04-01,377.98
2007-07-01,373.79
2007-10-01,372.64
2008-01-01,369.98
2008-04-01,360.71
2008-07-01,349.42
2008-10-01,346.25
2009-01-01,348.80
2009-04-01,339.58
2009-07-01,330.58
2009-10-01,328.16
2010-01-01,324.21
2010-04-01,321.32
2010-07-01,324.39
2010-10-01,322.03
2011-01-01,313.19
2011-04-01,307.78
2011-07-01,310.13
2011-10-01,311.50
2012-01-01,308.25
2012-04-01,307.02
2012-07-01,310.98
2012-10-01,313.51
2013-01-01,315.16
2013-04-01,320.16
2013-07-01,325.31
2013-10-01,328.20
2014-01-01,331.12
2014-04-01,337.56
2014-07-01,342.53
2014-10-01,345.41
2015-01-01,348.86
2015-04-01,355.22
2015-07-01,360.90
2015-10-01,364.34
2016-01-01,367.93
2016-04-01,375.33
2016-07-01,381.93
2016-10-01,385.38
2017-01-01,388.91
2017-04-01,399.18
